
 num     #instances         #bytes  class name
----------------------------------------------
   1:       1115389       35692448  java.util.HashMap$Node
   2:        104841       15081232  [Ljava.util.HashMap$Node;
   3:        119875        8121224  [C
   4:        144434        7993376  [Ljava.lang.Object;
   5:         69551        6120488  io.vertx.core.eventbus.impl.HandlerRegistration
   6:         69559        5008248  io.netty.channel.DefaultChannelHandlerContext
   7:        247290        3956640  java.lang.Object
   8:         34775        3894800  sun.nio.ch.SocketChannelImpl
   9:         34775        3616600  io.netty.channel.socket.nio.NioSocketChannel
  10:         70992        3613760  [B
  11:        108749        3479968  java.util.concurrent.ConcurrentHashMap$Node
  12:         70359        3377232  java.util.HashMap
  13:        139109        3338616  java.net.InetSocketAddress$InetSocketAddressHolder
  14:         34775        3338400  io.vertx.core.net.impl.NetSocketImpl
  15:        118901        2853624  java.lang.String
  16:         34775        2782000  io.netty.handler.timeout.IdleStateHandler
  17:         34780        2504160  io.netty.channel.DefaultChannelPipeline$HeadContext
  18:         34780        2504160  io.netty.channel.DefaultChannelPipeline$TailContext
  19:         34798        2358432  [Ljava.nio.channels.SelectionKey;
  20:         69669        2229408  java.util.concurrent.locks.ReentrantLock$NonfairSync
  21:         69591        2226912  java.net.InetAddress$InetAddressHolder
  22:         34780        2225920  io.netty.channel.ChannelOutboundBuffer
  23:        139109        2225744  java.net.InetSocketAddress
  24:         69554        2225728  io.vertx.core.impl.FutureImpl
  25:         69551        2225632  io.vertx.core.eventbus.impl.HandlerHolder
  26:         34775        2225600  io.netty.channel.socket.nio.NioSocketChannel$NioSocketChannelConfig
  27:         34902        1954512  java.util.LinkedHashMap
  28:         34776        1947456  io.netty.util.concurrent.ScheduledFutureTask
  29:         34775        1947400  io.github.giovibal.mqtt.MQTTNetSocket
  30:         69651        1671624  java.util.concurrent.CopyOnWriteArrayList
  31:         69573        1669752  java.net.Inet4Address
  32:         34786        1669728  java.nio.HeapByteBuffer
  33:         69569        1669656  java.util.ArrayDeque
  34:         34780        1669440  io.netty.channel.DefaultChannelPipeline
  35:         69560        1669440  io.netty.channel.VoidChannelPromise
  36:         69551        1669224  io.vertx.core.eventbus.impl.EventBusImpl$HandlerEntry
  37:         69551        1669224  io.vertx.core.eventbus.impl.Handlers
  38:         34775        1669200  io.github.giovibal.mqtt.MQTTPacketTokenizer
  39:            68        1617184  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  40:         36265        1450600  java.util.LinkedHashMap$Entry
  41:         34780        1391200  io.netty.channel.AbstractChannel$CloseFuture
