
 num     #instances         #bytes  class name
----------------------------------------------
   1:       2068245       66183840  java.util.HashMap$Node
   2:        561168       27101104  [C
   3:        194046       26059576  [Ljava.util.HashMap$Node;
   4:        337650       16230144  [Ljava.lang.Object;
   5:        129007       11352616  io.vertx.core.eventbus.impl.HandlerRegistration
   6:        448279       10758696  java.lang.String
   7:        129015        9289080  io.netty.channel.DefaultChannelHandlerContext
   8:        455386        7286176  java.lang.Object
   9:         64503        7224336  sun.nio.ch.SocketChannelImpl
  10:         64503        6708312  io.netty.channel.socket.nio.NioSocketChannel
  11:         81750        6541640  [I
  12:        198028        6336896  java.util.concurrent.ConcurrentHashMap$Node
  13:        130062        6242976  java.util.HashMap
  14:        134202        6209272  [B
  15:        258021        6192504  java.net.InetSocketAddress$InetSocketAddressHolder
  16:         64503        6192288  io.vertx.core.net.impl.NetSocketImpl
  17:         64503        5160240  io.netty.handler.timeout.IdleStateHandler
  18:         64508        4644576  io.netty.channel.DefaultChannelPipeline$HeadContext
  19:         64508        4644576  io.netty.channel.DefaultChannelPipeline$TailContext
  20:        129125        4132000  java.util.concurrent.locks.ReentrantLock$NonfairSync
  21:        129049        4129568  java.net.InetAddress$InetAddressHolder
  22:         64508        4128512  io.netty.channel.ChannelOutboundBuffer
  23:        258021        4128336  java.net.InetSocketAddress
  24:        129010        4128320  io.vertx.core.impl.FutureImpl
  25:        129007        4128224  io.vertx.core.eventbus.impl.HandlerHolder
  26:         64503        4128192  io.netty.channel.socket.nio.NioSocketChannel$NioSocketChannelConfig
  27:         64650        3620400  java.util.LinkedHashMap
  28:         64504        3612224  io.netty.util.concurrent.ScheduledFutureTask
  29:         64503        3612168  io.github.giovibal.mqtt.MQTTNetSocket
  30:         64528        3317952  [Ljava.nio.channels.SelectionKey;
  31:        132619        3182856  io.vertx.core.eventbus.impl.EventBusImpl$HandlerEntry
  32:        129107        3098568  java.util.concurrent.CopyOnWriteArrayList
  33:        129031        3096744  java.net.Inet4Address
  34:         64515        3096720  java.nio.HeapByteBuffer
  35:        129025        3096600  java.util.ArrayDeque
  36:         64508        3096384  io.netty.channel.DefaultChannelPipeline
  37:        129016        3096384  io.netty.channel.VoidChannelPromise
  38:        129007        3096168  io.vertx.core.eventbus.impl.Handlers
  39:         64503        3096144  io.github.giovibal.mqtt.MQTTPacketTokenizer
  40:         66581        2663240  java.util.LinkedHashMap$Entry
  41:         64508        2580320  io.netty.channel.AbstractChannel$CloseFuture
  42:         64508        2580320  sun.nio.ch.SelectionKeyImpl
  43:         64503        2580120  io.netty.channel.socket.nio.NioSocketChannel$NioSocketChannelUnsafe
  44:         64503        2580120  sun.nio.ch.SocketAdaptor
  45:         21664        2426368  java.util.GregorianCalendar
  46:         21664        2079744  sun.util.calendar.Gregorian$Date
  47:        129125        2066000  java.util.concurrent.locks.ReentrantLock
  48:        129095        2065520  java.util.concurrent.atomic.AtomicInteger
  49:         64523        2064736  java.io.FileDescriptor
  50:         64508        2064256  io.netty.channel.DefaultChannelId
  51:         64507        2064224  io.netty.channel.AdaptiveRecvByteBufAllocator
  52:         64503        2064096  io.vertx.core.net.impl.NetServerImpl$ServerHandler
  53:         29729        1902656  io.netty.channel.AdaptiveRecvByteBufAllocator$HandleImpl
  54:            72        1617952  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  55:         39710        1588400  java.util.Formatter$FormatSpecifier
  56:         64508        1548192  io.netty.channel.SucceededChannelFuture
  57:         64503        1548072  io.netty.handler.timeout.IdleStateHandler$AllIdleTimeoutTask
  58:         64503        1548072  io.netty.util.concurrent.PromiseTask$RunnableAdapter
  59:         36100        1444000  [Ljava.util.Formatter$Flags;
  60:         21668        1213408  sun.util.calendar.ZoneInfo
  61:         21660        1212960  java.util.Calendar$Builder
  62:         47324        1135776  java.lang.StringBuilder
  63:         68001        1088016  java.lang.Integer
  64:         64558        1032928  java.util.LinkedHashSet
  65:         64508        1032128  io.netty.channel.nio.AbstractNioChannel$1
  66:         64504        1032064  io.github.giovibal.mqtt.parser.ConnAckEncoder
  67:         64504        1032064  io.github.giovibal.mqtt.parser.ConnectEncoder
  68:         64504        1032064  io.github.giovibal.mqtt.parser.DisconnectEncoder
  69:         64504        1032064  io.github.giovibal.mqtt.parser.MQTTEncoder
  70:         64504        1032064  io.github.giovibal.mqtt.parser.PingReqEncoder
  71:         64504        1032064  io.github.giovibal.mqtt.parser.PingRespEncoder
  72:         64504        1032064  io.github.giovibal.mqtt.parser.PubAckEncoder
  73:         64504        1032064  io.github.giovibal.mqtt.parser.PubCompEncoder
  74:         64504        1032064  io.github.giovibal.mqtt.parser.PubRecEncoder
  75:         64504        1032064  io.github.giovibal.mqtt.parser.PubRelEncoder
  76:         64504        1032064  io.github.giovibal.mqtt.parser.PublishEncoder
  77:         64504        1032064  io.github.giovibal.mqtt.parser.SubAckEncoder
  78:         64504        1032064  io.github.giovibal.mqtt.parser.SubscribeEncoder
  79:         64504        1032064  io.github.giovibal.mqtt.parser.UnsubAckEncoder
  80:         64504        1032064  io.github.giovibal.mqtt.parser.UnsubscribeEncoder
  81:         64503        1032048  io.github.giovibal.mqtt.MQTTNetSocket$$Lambda$49/1697981574
  82:         64503        1032048  io.github.giovibal.mqtt.MQTTNetSocket$$Lambda$50/1689785694
  83:         64503        1032048  io.github.giovibal.mqtt.MQTTNetSocket$$Lambda$51/757622678
  84:         64503        1032048  io.github.giovibal.mqtt.parser.ConnAckDecoder
  85:         64503        1032048  io.github.giovibal.mqtt.parser.ConnectDecoder
  86:         64503        1032048  io.github.giovibal.mqtt.parser.DisconnectDecoder
  87:         64503        1032048  io.github.giovibal.mqtt.parser.MQTTDecoder
  88:         64503        1032048  io.github.giovibal.mqtt.parser.PingReqDecoder
  89:         64503        1032048  io.github.giovibal.mqtt.parser.PingRespDecoder
